id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.1,95,0,21.51,0,1611246905,105771,1611246905105,1611246905370,265,0
1,30.1,95,0,21.71,0,1611246914,883774,1611246914883,1611246914942,59,206
2,30.1,95,0,21.73,0,1611246924,660776,1611246924660,1611246924717,57,2
3,30.1,94,0,21.49,0,1611246934,437774,1611246934437,1611246934494,57,0
4,30.1,94,0,21.05,0,1611246944,214774,1611246944214,1611246944270,56,1
5,30.1,94,0,20.98,0,1611246953,991772,1611246953991,1611246954046,55,1
6,30.1,94,0,20.9,0,1611246963,768774,1611246963768,1611246963824,56,1
7,30.1,94,0,19.88,0,1611246973,544772,1611246973544,1611246973599,55,1
8,30.2,94,0,19.85,0,1611246983,321774,1611246983321,1611246983377,56,1
9,30.2,94,0,20.37,0,1611246993,98771,1611246993098,1611246993161,63,7
10,30.1,94,0,19.19,0,1611247002,875773,1611247002875,1611247002928,53,10
11,30.2,94,0,19.07,0,1611247012,652771,1611247012652,1611247012705,53,0
12,30.2,94,0,20.29,0,1611247022,429773,1611247022429,1611247022481,52,1
13,30.2,95,0,18.12,0,1611247032,206771,1611247032206,1611247032258,52,0
14,30.2,94,0,18.29,0,1611247041,983773,1611247041983,1611247042035,52,0
