id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.1,95,0,7.2527,0,1611251121,227713,1611251121227,1611251121287,60,0
1,30.3,95,0,6.7643,0,1611251133,9719,1611251133009,1611251133068,59,1
2,30.2,95,0,6.6422,0,1611251144,790717,1611251144790,1611251144847,57,2
3,30.2,95,0,6.6667,0,1611251156,570719,1611251156570,1611251156626,56,1
4,30.2,95,0,8.4737,0,1611251168,351716,1611251168351,1611251168407,56,0
5,30.2,95,0,9.1331,0,1611251180,132718,1611251180132,1611251180187,55,1
6,30.1,95,0,8.083,0,1611251191,913716,1611251191913,1611251191968,55,0
7,30.2,95,0,7.3504,0,1611251203,694718,1611251203694,1611251203747,53,2
8,30.1,95,0,7.4725,0,1611251215,475715,1611251215475,1611251215529,54,1
9,30.2,95,0,7.3748,0,1611251227,256717,1611251227256,1611251227309,53,1
10,30.3,95,0,7.3504,0,1611251239,37715,1611251239037,1611251239091,54,1
11,30.2,95,0,7.9609,0,1611251250,817717,1611251250817,1611251250870,53,1
12,30.2,95,0,8.0342,0,1611251262,598714,1611251262598,1611251262651,53,0
13,30.2,95,0,10.5006,0,1611251274,379716,1611251274379,1611251274431,52,1
14,30.2,95,0,9.3284,0,1611251286,160714,1611251286160,1611251286212,52,0
