id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.200001,92,0,17.606838,0,1611419978,314123,1611419978314,1611419978408,94,0
1,30.1,92,0,17.411478,0,1611419991,600129,1611419991600,1611419991716,116,22
2,30.1,93,0,17.582418,0,1611420004,886127,1611420004886,1611420005029,143,27
3,30.1,92,0,18.510378,0,1611420018,172128,1611420018172,1611420018238,66,77
4,30.200001,92,0,19.78022,0,1611420031,458126,1611420031458,1611420031550,92,26
5,30.1,92,0,20.2442,0,1611420044,744128,1611420044744,1611420044862,118,26
6,30.1,93,0,19.023199,0,1611420058,30126,1611420058030,1611420058174,144,26
7,30.1,93,0,19.78022,0,1611420071,314127,1611420071314,1611420071382,68,76
8,30.1,92,0,19.291819,0,1611420084,600125,1611420084600,1611420084695,95,27
9,30.1,93,0,19.1453,0,1611420097,886127,1611420097886,1611420098005,119,24
10,30.1,93,0,19.1453,0,1611420111,172125,1611420111172,1611420111318,146,27
11,30.1,93,0,19.60928,0,1611420124,458126,1611420124458,1611420124529,71,75
12,30.1,93,0,20.488401,0,1611420137,744124,1611420137744,1611420137840,96,25
13,30.1,94,0,20.683762,0,1611420151,30126,1611420151030,1611420151155,125,29
14,30.1,93,0,20.17094,0,1611420164,316124,1611420164316,1611420164464,148,23
