id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.7,91,0,23.9072,0,1611589087,987057,1611589087987,1611589088099,112,0
1,30.7,90,0,23.6386,0,1611589104,527059,1611589104527,1611589104687,160,48
2,30.8,90,0,22.5397,0,1611589121,67056,1611589121067,1611589121173,106,54
3,30.8,90,0,23.8339,0,1611589137,606058,1611589137606,1611589137762,156,50
4,30.8,90,0,23.37,0,1611589154,146056,1611589154146,1611589154251,105,51
5,30.8,90,0,23.4921,0,1611589170,687057,1611589170687,1611589170840,153,48
6,30.8,91,0,23.0525,0,1611589187,226055,1611589187226,1611589187426,200,47
7,30.8,91,0,23.5897,0,1611589203,766057,1611589203766,1611589203912,146,54
8,30.9,90,0,22.7839,0,1611589220,305054,1611589220305,1611589220500,195,49
9,31,91,0,23.0525,0,1611589236,845056,1611589236845,1611589236987,142,53
10,31,92,0,22.3199,0,1611589253,385054,1611589253385,1611589253576,191,49
11,31.1,92,0,21.6361,0,1611589269,925056,1611589269925,1611589270062,137,54
12,31,92,0,20.5372,0,1611589286,465053,1611589286465,1611589286651,186,49
13,31,92,0,20.3419,0,1611589303,4055,1611589303004,1611589303137,133,53
14,31,92,0,21.514,0,1611589319,544059,1611589319544,1611589319724,180,47
