id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.4,94,0,19.072,0,1611247150,78237,1611247150078,1611247150409,331,0
1,30.4,95,0,17.2161,0,1611247160,606239,1611247160606,1611247160710,104,227
2,30.4,94,0,17.1184,0,1611247171,133241,1611247171133,1611247171236,103,1
3,30.1,94,0,16.0684,0,1611247181,660239,1611247181660,1611247181762,102,1
4,30.2,94,0,16.4591,0,1611247192,187240,1611247192187,1611247192289,102,0
5,30.3,94,0,16.3614,0,1611247202,714238,1611247202714,1611247202815,101,1
6,30.3,94,0,16.1416,0,1611247213,241240,1611247213241,1611247213342,101,0
7,30.3,94,0,16.801,0,1611247223,768238,1611247223768,1611247223868,100,1
8,30.2,94,0,16.63,0,1611247234,295240,1611247234295,1611247234395,100,0
9,30.4,94,0,16.3614,0,1611247244,822237,1611247244822,1611247244920,98,2
10,30.4,94,0,16.3858,0,1611247255,349239,1611247255349,1611247255448,99,1
11,30.3,94,0,16.8254,0,1611247265,876237,1611247265876,1611247265975,99,0
12,30.4,95,0,17.5824,0,1611247276,403239,1611247276403,1611247276501,98,1
13,30.4,95,0,19.1941,0,1611247286,930237,1611247286930,1611247287028,98,0
14,30.4,95,0,20.6349,0,1611247297,457238,1611247297457,1611247297554,97,1
