id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.1,95,0,10.0366,0,1611251781,564034,1611251781564,1611251781652,88,0
1,30.1,95,0,11.6972,0,1611251791,845032,1611251791845,1611251791932,87,1
2,30.1,95,0,11.6728,0,1611251802,126034,1611251802126,1611251802215,89,2
3,30.1,95,0,11.3553,0,1611251812,407032,1611251812407,1611251812492,85,4
4,30.1,95,0,11.1844,0,1611251822,688033,1611251822688,1611251822773,85,0
5,30.1,95,0,10.5739,0,1611251832,970031,1611251832970,1611251833053,83,2
6,30.1,95,0,11.4774,0,1611251843,251033,1611251843251,1611251843336,85,2
7,30.1,95,0,9.8168,0,1611251853,532031,1611251853532,1611251853618,86,1
8,30.1,95,0,9.9389,0,1611251863,813033,1611251863813,1611251863897,84,2
9,30.1,95,0,11.746,0,1611251874,94029,1611251874094,1611251874178,84,0
10,30.1,95,0,11.453,0,1611251884,376032,1611251884376,1611251884459,83,1
11,30.1,95,0,11.5018,0,1611251894,657030,1611251894657,1611251894740,83,0
12,30.2,95,0,11.4286,0,1611251904,938031,1611251904938,1611251905020,82,1
13,30.1,95,0,11.3309,0,1611251915,219029,1611251915219,1611251915302,83,1
14,30.2,95,0,9.3529,0,1611251925,500030,1611251925500,1611251925581,81,2
