id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.2,95,0,5.6899,0,1611255822,901704,1611255822901,1611255823030,129,0
1,30.3,95,0,5.1282,0,1611255833,687702,1611255833687,1611255833816,129,0
2,30.3,95,0,5.4212,0,1611255844,473704,1611255844473,1611255844601,128,1
3,30.3,95,0,5.4945,0,1611255855,260702,1611255855260,1611255855388,128,0
4,30.3,95,0,5.7631,0,1611255866,46703,1611255866046,1611255866173,127,1
5,30.3,95,0,5.5189,0,1611255876,832701,1611255876832,1611255876958,126,1
6,30.3,95,0,5.1526,0,1611255887,618703,1611255887618,1611255887745,127,1
7,30.4,95,0,4.9084,0,1611255898,404701,1611255898404,1611255898530,126,1
8,30.4,95,0,5.177,0,1611255909,190702,1611255909190,1611255909316,126,0
9,30.3,95,0,5.2991,0,1611255919,975700,1611255919975,1611255920101,126,0
10,30.2,95,0,4.7619,0,1611255930,761702,1611255930761,1611255930887,126,0
11,30.2,95,0,4.6886,0,1611255941,547700,1611255941547,1611255941672,125,1
12,30.3,95,0,4.7863,0,1611255952,332708,1611255952332,1611255952457,125,0
13,30.3,95,0,4.9084,0,1611255963,118699,1611255963118,1611255963242,124,1
14,30.2,95,0,5.2991,0,1611255973,904701,1611255973904,1611255974028,124,0
