id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31,91,0,12.112332,0,1611591226,575171,1611591226575,1611591226807,232,0
1,31.1,91,0,11.794871,0,1611591239,614161,1611591239614,1611591239913,299,67
2,31.1,91,0,11.892551,0,1611591252,654163,1611591252654,1611591252918,264,35
3,31.1,91,0,12.112332,0,1611591265,693160,1611591265693,1611591265923,230,34
4,31.1,91,0,12.258852,0,1611591278,733162,1611591278733,1611591279030,297,67
5,31.1,90,0,12.454212,0,1611591291,773160,1611591291773,1611591292034,261,36
6,31.1,91,0,16.532356,0,1611591304,812162,1611591304812,1611591305039,227,34
7,31.1,90,0,18.827839,0,1611591317,852159,1611591317852,1611591318147,295,68
8,31.1,91,0,18.97436,0,1611591330,892161,1611591330892,1611591331151,259,36
9,31.1,91,0,19.242979,0,1611591343,931167,1611591343931,1611591344156,225,34
10,31.1,91,0,18.876678,0,1611591356,970161,1611591356970,1611591357263,293,68
11,31.1,91,0,13.870574,0,1611591370,10158,1611591370010,1611591370268,258,35
12,31.1,90,0,14.285714,0,1611591383,49160,1611591383049,1611591383477,428,170
13,31.1,90,0,14.652015,0,1611591396,89157,1611591396089,1611591396379,290,138
14,31.1,90,0,14.896214,0,1611591409,129160,1611591409129,1611591409383,254,36
