id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,30.9,92,0,7.521368,0,1611599545,445102,1611599545445,1611599545707,262,0
1,30.9,92,0,7.667888,0,1611599557,489102,1611599557489,1611599557726,237,25
2,31,93,0,7.545787,0,1611599569,533102,1611599569533,1611599569873,340,103
3,31,92,0,7.203907,0,1611599581,578100,1611599581578,1611599581854,276,64
4,31,92,0,7.423687,0,1611599593,620101,1611599593620,1611599593852,232,44
5,31,93,0,7.716728,0,1611599605,664100,1611599605664,1611599605918,254,22
6,31,93,0,6.642247,0,1611599617,708101,1611599617708,1611599617939,231,23
7,31,93,0,7.448107,0,1611599629,752101,1611599629752,1611599630084,332,101
8,31.1,92,0,7.423687,0,1611599641,797099,1611599641797,1611599642065,268,64
9,31.1,92,0,7.277167,0,1611599653,841099,1611599653841,1611599654148,307,39
10,31.1,92,0,7.326007,0,1611599665,884099,1611599665884,1611599666129,245,62
11,31.1,91,0,7.448107,0,1611599677,930099,1611599677930,1611599678156,226,19
12,31.1,92,0,7.301587,0,1611599689,973098,1611599689973,1611599690294,321,95
13,31.1,92,0,7.448107,0,1611599702,17098,1611599702017,1611599702276,259,62
14,31,92,0,7.545787,0,1611599714,61098,1611599714061,1611599714358,297,38
