s,us,chegada,envio,delay_ms,jitter_ms
1617888818,991000,1617888818992,1617888818991,1,0
1617888819,012000,1617888819013,1617888819012,1,0
1617888819,033000,1617888819033,1617888819033,0,1
1617888819,054000,1617888819055,1617888819054,1,1
1617888819,075000,1617888819076,1617888819075,1,0
1617888819,095000,1617888819096,1617888819095,1,0
1617888819,115000,1617888819116,1617888819115,1,0
1617888819,136000,1617888819137,1617888819136,1,0
1617888819,156000,1617888819157,1617888819156,1,0
1617888819,176000,1617888819177,1617888819176,1,0
1617888819,196000,1617888819197,1617888819196,1,0
1617888819,217000,1617888819217,1617888819217,0,1
1617888819,237000,1617888819238,1617888819237,1,1
1617888819,257000,1617888819258,1617888819257,1,0
1617888819,277000,1617888819278,1617888819277,1,0
1617888819,297000,1617888819299,1617888819297,2,1
1617888819,318000,1617888819319,1617888819318,1,1
1617888819,339000,1617888819340,1617888819339,1,0
1617888819,359000,1617888819360,1617888819359,1,0
1617888819,381000,1617888819381,1617888819381,0,1
1617888819,402000,1617888819403,1617888819402,1,1
1617888819,422000,1617888819423,1617888819422,1,0
1617888819,442000,1617888819443,1617888819442,1,0
1617888819,462000,1617888819463,1617888819462,1,0
1617888819,483000,1617888819484,1617888819483,1,0
1617888819,503000,1617888819504,1617888819503,1,0
1617888819,523000,1617888819524,1617888819523,1,0
1617888819,543000,1617888819551,1617888819543,8,7
1617888819,57000,1617888819571,1617888819570,1,7
1617888819,59000,1617888819591,1617888819590,1,0
1617888819,61000,1617888819611,1617888819610,1,0
1617888819,63000,1617888819631,1617888819630,1,0
1617888819,651000,1617888819652,1617888819651,1,0
1617888819,672000,1617888819673,1617888819672,1,0
1617888819,693000,1617888819694,1617888819693,1,0
1617888819,713000,1617888819714,1617888819713,1,0
1617888819,734000,1617888819735,1617888819734,1,0
1617888819,755000,1617888819756,1617888819755,1,0
1617888819,776000,1617888819776,1617888819776,0,1
1617888819,797000,1617888819798,1617888819797,1,1
1617888819,817000,1617888819818,1617888819817,1,0
1617888819,838000,1617888819839,1617888819838,1,0
1617888819,859000,1617888819860,1617888819859,1,0
1617888819,879000,1617888819880,1617888819879,1,0
1617888819,9000,1617888819900,1617888819900,0,1
1617888819,921000,1617888819922,1617888819921,1,1
1617888819,941000,1617888819942,1617888819941,1,0
1617888819,962000,1617888819963,1617888819962,1,0
1617888819,984000,1617888819985,1617888819984,1,0
1617888820,005000,1617888820006,1617888820005,1,0
1617888820,026000,1617888820026,1617888820026,0,1
1617888820,046000,1617888820047,1617888820046,1,1
1617888820,066000,1617888820067,1617888820066,1,0
1617888820,086000,1617888820087,1617888820086,1,0
1617888820,106000,1617888820107,1617888820106,1,0
1617888820,127000,1617888820127,1617888820127,0,1
1617888820,147000,1617888820148,1617888820147,1,1
1617888820,167000,1617888820168,1617888820167,1,0
1617888820,188000,1617888820188,1617888820188,0,1
1617888820,209000,1617888820210,1617888820209,1,1
1617888820,229000,1617888820230,1617888820229,1,0
1617888820,249000,1617888820250,1617888820249,1,0
1617888820,269000,1617888820270,1617888820269,1,0
1617888820,289000,1617888820291,1617888820289,2,1
1617888820,31000,1617888820311,1617888820310,1,1
1617888820,33000,1617888820332,1617888820330,2,1
1617888820,352000,1617888820353,1617888820352,1,1
1617888820,373000,1617888820373,1617888820373,0,1
1617888820,393000,1617888820395,1617888820393,2,2
1617888820,414000,1617888820415,1617888820414,1,1
