s,us,chegada,envio,delay_ms,jitter_ms
1616387838,396757,1616387838503,1616387838396,107,0
1616387838,498753,1616387838512,1616387838498,14,93
1616387838,599753,1616387838613,1616387838599,14,0
1616387838,700753,1616387838714,1616387838700,14,0
1616387838,801753,1616387838815,1616387838801,14,0
1616387838,902753,1616387838916,1616387838902,14,0
1616387839,3753,1616387839017,1616387839003,14,0
1616387839,104753,1616387839117,1616387839104,13,1
1616387839,205753,1616387839219,1616387839205,14,1
1616387839,306753,1616387839032,1616387839306,0,14
1616387839,407753,1616387839421,1616387839407,14,14
1616387839,508753,1616387839521,1616387839508,13,1
1616387839,609757,1616387839623,1616387839609,14,1
1616387839,710753,1616387839725,1616387839710,15,1
1616387839,812753,1616387839827,1616387839812,15,0
1616387839,914753,1616387839929,1616387839914,15,0
1616387840,15753,1616387840032,1616387840015,17,2
1616387840,116753,1616387840131,1616387840116,15,2
1616387840,217757,1616387840235,1616387840217,18,3
1616387840,318753,1616387840332,1616387840318,14,4
1616387840,420753,1616387840434,1616387840420,14,0
1616387840,522753,1616387840537,1616387840522,15,1
1616387840,624753,1616387840638,1616387840624,14,1
1616387840,726753,1616387840741,1616387840726,15,1
1616387840,828753,1616387840843,1616387840828,15,0
1616387840,930753,1616387840945,1616387840930,15,0
1616387841,32753,1616387841046,1616387841032,14,1
1616387841,134753,1616387841149,1616387841134,15,1
1616387841,236753,1616387841251,1616387841236,15,0
1616387841,338753,1616387841352,1616387841338,14,1
1616387841,440753,1616387841455,1616387841440,15,1
1616387841,542753,1616387841556,1616387841542,14,1
1616387841,644753,1616387841658,1616387841644,14,0
1616387841,746753,1616387841761,1616387841746,15,1
1616387841,848753,1616387841863,1616387841848,15,0
1616387841,950753,1616387841964,1616387841950,14,1
1616387842,52753,1616387842067,1616387842052,15,1
1616387842,154753,1616387842169,1616387842154,15,0
1616387842,256753,1616387842271,1616387842256,15,0
1616387842,358753,1616387842373,1616387842358,15,0
1616387842,460753,1616387842475,1616387842460,15,0
1616387842,562753,1616387842577,1616387842562,15,0
1616387842,664753,1616387842679,1616387842664,15,0
1616387842,766753,1616387842078,1616387842766,0,15
1616387842,868753,1616387842882,1616387842868,14,14
1616387842,970753,1616387842984,1616387842970,14,0
1616387843,72753,1616387843087,1616387843072,15,1
1616387843,174753,1616387843189,1616387843174,15,0
