s,us,chegada,envio,delay_ms,jitter_ms
1616389517,358757,1616389517038,1616389517358,0,0
1616389517,459753,1616389517473,1616389517459,14,14
1616389517,560753,1616389517574,1616389517560,14,0
1616389517,661753,1616389517675,1616389517661,14,0
1616389517,762753,1616389517776,1616389517762,14,0
1616389517,863753,1616389517877,1616389517863,14,0
1616389517,964753,1616389517977,1616389517964,13,1
1616389518,65753,1616389518079,1616389518065,14,1
1616389518,166753,1616389518018,1616389518166,0,14
1616389518,267753,1616389518281,1616389518267,14,14
1616389518,368757,1616389518382,1616389518368,14,0
1616389518,469756,1616389518483,1616389518469,14,0
1616389518,570753,1616389518585,1616389518570,15,1
1616389518,672753,1616389518686,1616389518672,14,1
1616389518,774753,1616389518079,1616389518774,0,14
1616389518,875753,1616389518892,1616389518875,17,17
1616389518,976753,1616389518992,1616389518976,16,1
1616389519,77756,1616389519091,1616389519077,14,2
1616389519,178753,1616389519193,1616389519178,15,1
1616389519,280753,1616389519294,1616389519280,14,1
1616389519,382753,1616389519396,1616389519382,14,0
1616389519,484753,1616389519499,1616389519484,15,1
1616389519,586753,1616389519601,1616389519586,15,0
1616389519,688753,1616389519703,1616389519688,15,0
1616389519,790753,1616389519804,1616389519790,14,1
1616389519,892753,1616389519907,1616389519892,15,1
1616389519,994753,1616389520009,1616389519994,15,0
1616389520,96753,1616389520111,1616389520096,15,0
1616389520,198753,1616389520213,1616389520198,15,0
1616389520,300753,1616389520315,1616389520300,15,0
1616389520,402753,1616389520417,1616389520402,15,0
1616389520,504753,1616389520519,1616389520504,15,0
1616389520,606753,1616389520621,1616389520606,15,0
1616389520,708753,1616389520723,1616389520708,15,0
1616389520,810753,1616389520825,1616389520810,15,0
1616389520,912753,1616389520927,1616389520912,15,0
1616389521,14753,1616389521029,1616389521014,15,0
1616389521,116753,1616389521131,1616389521116,15,0
1616389521,218753,1616389521233,1616389521218,15,0
1616389521,320753,1616389521335,1616389521320,15,0
1616389521,422753,1616389521436,1616389521422,14,1
1616389521,524753,1616389521538,1616389521524,14,0
1616389521,626753,1616389521641,1616389521626,15,1
1616389521,728753,1616389521743,1616389521728,15,0
1616389521,830753,1616389521845,1616389521830,15,0
1616389521,932753,1616389521946,1616389521932,14,1
1616389522,34753,1616389522049,1616389522034,15,1
1616389522,136753,1616389522151,1616389522136,15,0
1616389522,238753,1616389522253,1616389522238,15,0
1616389522,340753,1616389522353,1616389522340,13,2
1616389522,441753,1616389522455,1616389522441,14,1
1616389522,543753,1616389522558,1616389522543,15,1
1616389522,645753,1616389522659,1616389522645,14,1
1616389522,747753,1616389522762,1616389522747,15,1
1616389522,849753,1616389522863,1616389522849,14,1
1616389522,951753,1616389522965,1616389522951,14,0
1616389523,53753,1616389523068,1616389523053,15,1
1616389523,155753,1616389523169,1616389523155,14,1
1616389523,257753,1616389523271,1616389523257,14,0
1616389523,359753,1616389523374,1616389523359,15,1
1616389523,461753,1616389523476,1616389523461,15,0
1616389523,563753,1616389523578,1616389523563,15,0
1616389523,665753,1616389523068,1616389523665,0,15
1616389523,767753,1616389523782,1616389523767,15,15
1616389523,869753,1616389523883,1616389523869,14,1
1616389523,971753,1616389523986,1616389523971,15,1
1616389524,73753,1616389524088,1616389524073,15,0
1616389524,175753,1616389524019,1616389524175,0,15
1616389524,277753,1616389524292,1616389524277,15,15
1616389524,379753,1616389524393,1616389524379,14,1
1616389524,481753,1616389524496,1616389524481,15,1
1616389524,583753,1616389524597,1616389524583,14,1
1616389524,685753,1616389524699,1616389524685,14,0
1616389524,787753,1616389524801,1616389524787,14,0
1616389524,889753,1616389524904,1616389524889,15,1
1616389524,991753,1616389525006,1616389524991,15,0
1616389525,93753,1616389525108,1616389525093,15,0
1616389525,195753,1616389525209,1616389525195,14,1
1616389525,297753,1616389525312,1616389525297,15,1
1616389525,399753,1616389525413,1616389525399,14,1
1616389525,501753,1616389525516,1616389525501,15,1
1616389525,603753,1616389525617,1616389525603,14,1
1616389525,705753,1616389525719,1616389525705,14,0
1616389525,807753,1616389525822,1616389525807,15,1
1616389525,909753,1616389525923,1616389525909,14,1
1616389526,11753,1616389526025,1616389526011,14,0
1616389526,113753,1616389526128,1616389526113,15,1
1616389526,215753,1616389526229,1616389526215,14,1
1616389526,317753,1616389526331,1616389526317,14,0
1616389526,419753,1616389526433,1616389526419,14,0
1616389526,521753,1616389526535,1616389526521,14,0
1616389526,623753,1616389526637,1616389526623,14,0
1616389526,725753,1616389526739,1616389526725,14,0
1616389526,827753,1616389526842,1616389526827,15,1
1616389526,929753,1616389526944,1616389526929,15,0
1616389527,31753,1616389527045,1616389527031,14,1
1616389527,133753,1616389527148,1616389527133,15,1
1616389527,235753,1616389527249,1616389527235,14,1
1616389527,337753,1616389527352,1616389527337,15,1
1616389527,439753,1616389527454,1616389527439,15,0
1616389527,541753,1616389527555,1616389527541,14,1
1616389527,643753,1616389527657,1616389527643,14,0
1616389527,745753,1616389527759,1616389527745,14,0
1616389527,847753,1616389527861,1616389527847,14,0
1616389527,949753,1616389527963,1616389527949,14,0
1616389528,51753,1616389528065,1616389528051,14,0
1616389528,153753,1616389528168,1616389528153,15,1
1616389528,255753,1616389528269,1616389528255,14,1
1616389528,357753,1616389528372,1616389528357,15,1
1616389528,459753,1616389528474,1616389528459,15,0
1616389528,561753,1616389528576,1616389528561,15,0
1616389528,663753,1616389528677,1616389528663,14,1
1616389528,765753,1616389528779,1616389528765,14,0
1616389528,867753,1616389528881,1616389528867,14,0
1616389528,969753,1616389528983,1616389528969,14,0
1616389529,71753,1616389529086,1616389529071,15,1
1616389529,173753,1616389529187,1616389529173,14,1
1616389529,275753,1616389529289,1616389529275,14,0
1616389529,377753,1616389529391,1616389529377,14,0
