id,t,u,uS,l,c,envio_s,envio_us,envio,chegada,delay_ms,jitter_ms
0,31.5,91,0,12.8694,0,1611595724,996867,1611595724996,1611595725198,202,0
1,31.5,91,0,13.2112,0,1611595739,542867,1611595739542,1611595739738,196,6
2,31.4,92,0,13.7485,0,1611595754,87867,1611595754087,1611595754234,147,49
3,31.4,91,0,14.0659,0,1611595768,633866,1611595768633,1611595768822,189,42
4,31.4,91,0,13.5043,0,1611595783,178866,1611595783178,1611595783362,184,5
5,31.4,91,0,13.6508,0,1611595797,723866,1611595797723,1611595797902,179,5
6,31.4,91,0,13.0647,0,1611595812,269865,1611595812269,1611595812442,173,6
7,31.4,91,0,13.1868,0,1611595826,814865,1611595826814,1611595826984,170,3
8,31.4,91,0,12.9915,0,1611595841,360865,1611595841360,1611595841523,163,7
9,31.4,91,0,13.5775,0,1611595855,905865,1611595855905,1611595856167,262,99
10,31.3,91,0,13.6264,0,1611595870,452864,1611595870452,1611595870709,257,5
11,31.3,92,0,13.6264,0,1611595884,998864,1611595884998,1611595885248,250,7
12,31.3,91,0,13.3578,0,1611595899,543864,1611595899543,1611595899789,246,4
13,31.2,91,0,13.2845,0,1611595914,90862,1611595914090,1611595914329,239,7
14,31.2,92,0,13.0647,0,1611595928,635863,1611595928635,1611595928870,235,4
