exp1/qos0_64b0ms_1.csv: 51302/51302, 0.50 ms
exp1/qos0_64b0ms_2.csv: 52156/52156, 0.52 ms
exp1/qos0_64b0ms_3.csv: 51907/51907, 0.51 ms
exp1/qos0_64b20ms_1.csv: 2900/2900, 1.16 ms
exp1/qos0_64b20ms_2.csv: 2909/2909, 1.07 ms
exp1/qos0_64b20ms_3.csv: 2907/2907, 1.04 ms
exp1/qos0_64b40ms_1.csv: 1477/1477, 1.10 ms
exp1/qos0_64b40ms_2.csv: 1477/1477, 1.20 ms
exp1/qos0_64b40ms_3.csv: 1478/1478, 1.13 ms
exp1/qos0_64b60ms_1.csv: 990/990, 1.19 ms
exp1/qos0_64b60ms_2.csv: 990/990, 1.19 ms
exp1/qos0_64b60ms_3.csv: 990/990, 1.19 ms
exp1/qos0_64b80ms_1.csv: 745/745, 1.19 ms
exp1/qos0_64b80ms_2.csv: 745/745, 1.21 ms
exp1/qos0_64b80ms_3.csv: 745/745, 1.20 ms
exp1/qos0_64b100ms_1.csv: 597/597, 1.20 ms
exp1/qos0_64b100ms_2.csv: 597/597, 1.36 ms
exp1/qos0_64b100ms_3.csv: 597/597, 1.19 ms
